CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore
527,65,Male,France,96261,3,1,20,High,Gold,64.72
530,53,Female,UK,79890,4,2,15,Low,Gold,78.2
531,50,Male,UK,30207,10,4,6,Low,Bronze,92.15
532,47,Female,Germany,47298,4,1,5,High,Bronze,65.1
533,54,Female,Canada,52558,7,3,18,Low,Gold,76.54
534,40,Male,UK,30193,2,10,5,Low,Bronze,82.5
535,27,Female,USA,74911,2,6,5,Low,Silver,80.45
536,22,Male,USA,67572,9,1,5,Medium,Gold,74.17
537,53,Female,Germany,94993,4,5,4,Medium,Silver,94.11
539,69,Female,France,52177,2,4,9,High,Bronze,60.27
541,27,Male,UK,55379,1,4,16,High,Gold,57.7
542,36,Female,France,61915,1,2,15,High,Silver,36.34
544,18,Male,UK,89049,8,3,9,Medium,Gold,87.98
545,22,Male,Canada,119839,10,1,2,High,Silver,95.11
546,62,Female,USA,92969,4,3,10,Medium,Silver,68.79
547,21,Female,Canada,33566,8,1,10,High,Gold,83.17
549,41,Male,Germany,37426,1,1,12,High,Bronze,42.34
550,33,Male,Germany,66859,5,1,11,High,Bronze,66.72
553,45,Female,Germany,42939,10,2,3,Low,Gold,79.46
555,44,Male,France,35306,3,1,8,High,Gold,46.39
556,37,Male,France,108279,3,6,12,Low,Gold,69.93
557,41,Male,UK,34092,8,3,5,High,Bronze,80.84
558,29,Male,UK,42446,2,3,14,Medium,Gold,45.05
560,52,Male,USA,79176,6,7,17,High,Bronze,96.49
562,50,Male,Canada,85527,2,9,11,Low,Bronze,91.51
563,68,Female,UK,47927,2,9,1,Medium,Gold,83.16
564,60,Male,UK,44813,1,7,19,High,Bronze,72.27
565,54,Male,Canada,74637,2,4,9,High,Gold,78.23
566,29,Female,France,43944,2,5,10,High,Silver,67.04
567,20,Female,Canada,37002,6,6,17,Low,Bronze,74.5
568,18,Female,France,116434,2,10,15,High,Bronze,92.6
571,27,Female,USA,80964,10,2,14,High,Bronze,89.61
572,60,Male,Germany,43384,3,7,14,Medium,Bronze,79.3
573,61,Male,Germany,44487,1,5,17,Low,Silver,58.29
574,46,Female,Germany,77535,3,5,14,Low,Silver,79.37
576,29,Male,France,30253,9,1,2,High,Silver,68.69
577,48,Female,UK,73778,6,1,16,Medium,Bronze,70.46
579,19,Male,Canada,54697,2,4,1,High,Gold,44.53
583,40,Female,USA,68132,2,8,12,Medium,Bronze,70.11
586,25,Male,USA,32536,10,1,15,Low,Silver,75.48
587,46,Male,Canada,77988,2,4,2,Low,Silver,49.21
591,51,Male,Canada,53397,2,8,1,Low,Gold,63.39
593,58,Male,France,115026,6,4,8,Low,Gold,92
594,24,Female,USA,35108,7,6,12,Low,Silver,88.73
595,21,Female,USA,63718,6,6,13,High,Gold,81.31
597,62,Female,UK,81625,1,7,9,Medium,Silver,91.21
598,28,Female,Canada,117643,10,3,11,Low,Bronze,88.88
599,46,Female,UK,70626,4,1,9,High,Bronze,66.14
600,53,Male,UK,108822,1,9,12,Low,Silver,99.48
603,53,Female,UK,118295,4,6,8,High,Bronze,95.36
604,27,Female,UK,96462,8,2,20,Medium,Bronze,80.73
605,54,Male,Germany,49787,2,2,14,High,Gold,59.71
608,52,Male,Canada,70894,5,1,15,Medium,Gold,76.09
609,66,Male,France,117166,8,1,14,Low,Silver,94.6
610,52,Male,France,97422,1,4,11,Low,Gold,73.1
616,49,Female,UK,37888,5,6,18,High,Silver,84.59
617,41,Male,Germany,40325,2,6,17,Low,Silver,85.04
618,40,Female,USA,75269,4,1,20,Medium,Bronze,84.25
620,54,Male,France,72150,2,4,10,Medium,Silver,71.95
621,29,Male,France,105068,5,3,12,Medium,Silver,79.04
622,66,Female,Germany,50531,1,6,1,Medium,Gold,66.26
623,30,Male,France,48627,10,3,3,Medium,Silver,92.25
625,42,Male,France,79833,5,3,7,High,Bronze,74.12
626,52,Female,UK,100898,1,9,12,High,Bronze,91.01
627,58,Female,France,111247,3,4,14,High,Gold,91.83
628,47,Female,USA,63354,7,5,6,Low,Gold,90.33
635,30,Male,Canada,74604,10,2,9,Low,Silver,78.33
636,36,Male,France,118343,2,10,16,High,Silver,84.47
637,66,Female,USA,109507,2,5,13,Medium,Silver,96.99
638,53,Female,France,71686,6,4,6,Medium,Silver,75.4
639,29,Male,Germany,117529,1,1,13,Medium,Gold,46.5
642,29,Male,UK,52004,6,1,10,High,Bronze,59.74
644,24,Male,UK,115032,3,4,4,High,Bronze,80.2
645,45,Female,Germany,65777,6,4,13,High,Bronze,87.74
646,31,Female,Canada,77601,9,1,7,Medium,Bronze,76.06
647,48,Female,UK,56375,4,3,14,Low,Gold,77.49
648,69,Female,France,38066,3,3,12,High,Gold,54.43
652,22,Male,USA,114088,8,6,15,High,Bronze,99.58
654,29,Female,USA,110769,9,4,13,High,Gold,89.48
656,69,Female,UK,67288,6,4,8,Medium,Silver,87.14
657,38,Male,UK,85732,5,5,12,Medium,Bronze,77.28
658,53,Male,Germany,56207,5,6,5,Low,Gold,74.1
660,33,Female,USA,104158,1,6,7,Low,Silver,71.51
661,56,Female,USA,81888,7,5,1,Medium,Gold,83.63
665,31,Female,USA,36681,9,1,8,Medium,Bronze,59.13
667,22,Male,France,61873,2,2,13,High,Silver,44.95
668,52,Male,France,72421,3,10,20,High,Bronze,95.53
669,40,Female,France,96802,10,2,12,Low,Bronze,92.11
671,60,Male,UK,98773,3,5,14,Medium,Gold,91.33
672,28,Male,Canada,78404,4,3,8,High,Gold,83.83
673,35,Male,USA,96593,5,1,10,High,Gold,79.77
675,29,Female,USA,59517,6,6,6,Medium,Silver,74.23
676,26,Male,USA,53718,10,2,8,High,Bronze,80.85
679,34,Male,USA,35420,6,5,19,Low,Gold,79.29
680,55,Female,UK,57454,3,3,2,Low,Silver,53.21
681,24,Male,Canada,64798,7,2,7,High,Gold,56.96
683,30,Female,Germany,92471,5,1,19,High,Silver,78.89
685,59,Female,France,98371,6,5,20,Medium,Gold,93
686,26,Female,Germany,58351,8,1,10,High,Bronze,75.73
687,67,Male,Germany,63692,4,9,9,Medium,Silver,91.88
688,44,Female,Canada,46566,7,7,12,High,Bronze,99.92
689,19,Male,France,72251,9,1,16,High,Bronze,73.82
691,46,Female,USA,57157,2,3,12,Medium,Gold,57.51
692,54,Female,Canada,91165,5,2,17,Medium,Silver,85.67
693,55,Male,UK,49350,9,6,9,Low,Silver,99.72
694,36,Female,Canada,99932,1,10,16,High,Silver,88.55
695,25,Female,France,108873,4,3,20,High,Bronze,76.27
699,39,Female,UK,74228,5,4,4,High,Bronze,78.06
702,24,Male,France,42468,1,4,15,High,Silver,69.11
705,21,Female,France,102013,3,2,10,High,Bronze,53.51
706,53,Female,Germany,36466,1,9,6,Medium,Silver,71.38
707,23,Male,UK,48932,4,5,17,Medium,Silver,80.73
708,48,Female,UK,84757,1,1,3,High,Gold,51.46
712,44,Female,France,35744,7,2,13,Low,Gold,60.14
714,43,Female,France,57755,7,4,1,Low,Silver,84.41
715,36,Male,France,32050,3,1,10,Low,Bronze,30.52
717,20,Female,Germany,85357,4,7,2,High,Silver,93.3
719,30,Male,Germany,93161,3,8,14,High,Bronze,88.57
720,67,Female,Germany,32936,6,8,8,High,Silver,87.92
721,45,Male,Canada,51532,1,3,2,High,Silver,64.14
722,37,Male,Germany,78726,2,7,16,High,Silver,85.28
725,58,Male,France,80984,5,2,10,High,Bronze,91.38
726,56,Male,Canada,62877,5,3,9,High,Bronze,79.01
728,20,Female,UK,32684,5,6,14,High,Silver,57.17
735,23,Female,UK,35118,5,8,10,Medium,Silver,94.55
737,62,Female,USA,31453,9,1,8,Medium,Gold,86.76
738,49,Female,USA,116477,5,1,2,Medium,Gold,84.88
740,64,Female,UK,79510,4,10,5,Low,Gold,93.68
743,38,Female,USA,39044,7,2,1,High,Silver,56.86
746,53,Male,France,111840,2,5,5,High,Bronze,77.25
747,52,Male,Canada,116911,3,7,18,Low,Gold,89.22
748,36,Female,USA,104609,8,3,12,Medium,Gold,91.33
749,37,Male,Germany,41245,7,3,3,Medium,Silver,77.83
751,64,Male,Canada,115230,9,1,7,Medium,Silver,87.06
752,58,Male,USA,101651,7,6,3,Medium,Gold,95.92
754,31,Male,France,67399,2,2,8,High,Silver,43.09
755,32,Female,UK,74968,9,8,6,Low,Gold,83.54
757,18,Female,UK,35901,4,9,11,Low,Bronze,66.59
758,20,Female,UK,53258,4,3,18,Medium,Silver,55.11
760,40,Female,France,84865,2,9,18,High,Silver,86.35
762,29,Female,USA,56760,4,9,9,Low,Silver,89.54
763,27,Male,Germany,95089,3,2,2,Medium,Bronze,46.06
764,49,Male,UK,45455,6,2,5,High,Gold,63.57
765,33,Male,UK,82024,3,5,15,Medium,Silver,76.95
766,25,Male,Canada,93662,6,6,14,Medium,Silver,99.89
767,55,Male,UK,107015,1,1,1,High,Silver,53.9
768,29,Female,UK,104625,4,1,2,High,Bronze,64.06
769,41,Male,Canada,43692,6,6,7,High,Bronze,87.43
770,45,Female,France,95016,3,6,7,Low,Silver,75.61
771,25,Male,USA,54943,3,6,17,Medium,Bronze,67.42
772,45,Male,France,42525,7,8,8,High,Bronze,96.21
774,43,Male,UK,90654,7,2,12,High,Silver,91.63
775,25,Male,UK,81345,5,4,11,Medium,Gold,90.74
776,67,Male,France,78491,1,9,17,Low,Silver,69.91
777,45,Female,Germany,71025,8,1,7,Low,Gold,82.27
778,45,Male,USA,110056,3,6,12,High,Silver,99.73
779,54,Male,UK,100899,1,8,14,Low,Bronze,77.82
780,58,Female,Canada,55663,1,2,13,Medium,Bronze,69.75
781,53,Male,France,31751,9,4,1,High,Silver,85.99
783,34,Female,Germany,77606,8,4,5,Low,Gold,82.99
784,26,Female,UK,47716,4,4,10,High,Bronze,71.4
785,50,Male,France,31466,9,2,9,Medium,Bronze,85.04
786,37,Male,UK,43299,3,7,11,Low,Gold,61.83
787,30,Male,France,116645,3,6,12,Medium,Gold,76.13
790,46,Male,Canada,56695,2,3,11,High,Bronze,56.1
791,30,Female,USA,86052,6,4,2,Low,Silver,78.15
792,63,Female,UK,54798,3,6,17,Medium,Bronze,76.69
793,52,Female,UK,37393,2,3,8,Low,Bronze,68.5
794,23,Female,UK,48189,7,3,3,High,Gold,78.87
796,68,Female,USA,86596,4,3,19,Low,Gold,90.48
798,64,Male,France,36272,4,3,20,High,Silver,66.5
799,42,Female,UK,66250,7,2,8,Medium,Bronze,71.01
800,19,Male,France,109361,9,3,16,High,Gold,91.83
802,47,Female,France,35493,1,3,3,Medium,Silver,39.71
803,67,Female,France,92186,1,3,20,Medium,Gold,64.81
804,62,Female,France,41189,5,3,19,Low,Silver,91.45
805,22,Female,Canada,95609,2,8,16,High,Bronze,94.24
807,18,Female,UK,57102,8,5,18,High,Bronze,92.73
809,49,Male,Germany,32287,2,6,4,Low,Gold,69.1
810,64,Male,UK,82380,2,1,7,High,Silver,56.94
812,28,Female,UK,118362,4,4,2,High,Bronze,76.63
814,43,Female,Germany,104698,4,2,15,High,Gold,74.99
816,39,Female,Germany,59016,6,5,6,High,Silver,96.73
817,44,Female,Canada,90406,4,1,20,High,Silver,63.62
818,66,Female,Canada,62194,7,1,17,High,Gold,83.85
820,50,Female,France,44893,1,6,15,High,Gold,79.83
822,58,Male,UK,107307,1,6,12,Low,Bronze,90.73
824,18,Male,USA,119273,7,2,3,Medium,Gold,93.64
825,38,Female,Canada,34950,9,3,12,Low,Silver,71.61
826,65,Male,USA,53682,5,5,7,High,Bronze,96.97
830,22,Male,Canada,57325,3,6,1,Low,Bronze,71.68
831,48,Female,Germany,85049,3,7,18,Medium,Bronze,94.38
833,55,Male,UK,51961,10,2,7,High,Silver,86.33
836,54,Female,Canada,79271,2,2,1,High,Bronze,56.91
837,54,Female,Germany,97854,2,7,20,Medium,Silver,97.73
838,27,Male,USA,78907,7,1,9,High,Bronze,59.62
839,27,Female,Germany,31152,8,6,18,Low,Bronze,74.89
840,36,Male,Canada,93337,1,3,16,High,Silver,80.75
841,34,Male,USA,116391,1,6,7,High,Gold,77.19
842,38,Female,USA,73912,5,3,5,High,Silver,74.01
843,31,Female,Canada,67178,1,7,1,High,Silver,59.7
844,26,Female,UK,113048,2,5,11,Medium,Bronze,93.88
845,63,Female,UK,43301,3,1,7,Medium,Bronze,43.88
846,18,Male,Canada,55374,1,1,11,Low,Bronze,20.11
848,62,Male,Canada,32441,4,9,20,Low,Gold,87.43
849,30,Male,USA,39386,6,3,18,High,Bronze,82.64
850,21,Male,USA,65985,6,3,9,Medium,Bronze,45.78
851,18,Male,Canada,95090,3,6,13,High,Silver,78.34
852,66,Female,USA,113275,8,3,8,Medium,Gold,85.39
853,57,Male,France,83611,6,3,13,Medium,Bronze,91.38
854,49,Male,Canada,95621,6,3,20,Low,Gold,77.47
855,51,Female,USA,106234,1,7,2,High,Bronze,75.48
856,45,Female,UK,89181,7,3,1,High,Bronze,85.11
857,48,Male,Canada,31200,4,6,8,Medium,Silver,91.76
858,25,Male,Canada,53190,8,2,10,Low,Bronze,99.46
861,51,Female,Canada,32647,1,8,10,High,Gold,57.12
862,20,Female,UK,34666,1,9,7,Medium,Silver,63.36
863,67,Female,USA,82532,3,7,13,High,Silver,99.39
864,29,Male,Canada,107123,9,3,15,Medium,Bronze,78.01
865,18,Male,France,75412,6,3,2,Medium,Silver,83.83
866,61,Female,USA,105292,2,1,8,Medium,Bronze,55.11
867,22,Female,UK,68914,2,5,11,Medium,Silver,59.67
869,47,Male,UK,35486,5,1,1,Medium,Bronze,63.44
871,65,Female,USA,60782,3,2,6,High,Gold,63.4
873,40,Female,USA,30432,1,9,9,Medium,Gold,75.83
874,32,Male,UK,85004,3,6,11,Low,Bronze,62
875,54,Female,UK,91298,4,7,12,High,Silver,99.51
877,31,Female,France,43954,10,2,7,Low,Bronze,91.03
878,19,Male,UK,81605,5,1,11,Medium,Silver,58.64
880,68,Female,Canada,118308,5,1,20,Low,Bronze,91.35
881,56,Male,USA,111443,5,1,2,Low,Gold,54.5
885,67,Female,Germany,52343,5,3,20,Low,Bronze,79.65
886,51,Male,UK,45251,1,6,18,Medium,Bronze,72.76
887,35,Female,Canada,70925,3,9,7,Low,Bronze,77.91
888,47,Male,Germany,38570,4,5,6,Medium,Gold,78.88
890,44,Male,USA,43778,6,6,15,Medium,Silver,97.72
895,50,Female,France,108811,5,1,5,High,Gold,67.64
897,32,Male,Germany,64598,6,8,12,High,Gold,97.54
898,47,Female,Canada,108041,2,5,7,Low,Gold,90.22
901,34,Male,USA,90226,10,3,4,High,Silver,94.8
902,22,Male,UK,81289,8,1,5,Medium,Bronze,83.26
904,21,Male,France,84074,1,6,3,Low,Gold,68.33
905,27,Female,USA,88748,3,2,19,Medium,Silver,66.77
907,27,Female,Canada,54955,6,1,17,High,Gold,70.36
908,34,Male,UK,38458,1,5,12,Low,Gold,63.85
909,37,Male,France,72783,3,4,1,High,Bronze,71.73
911,22,Male,USA,43759,2,6,17,Low,Silver,61.83
913,23,Male,Germany,71013,9,2,15,Low,Gold,77.44
914,19,Female,Canada,96853,4,5,3,Low,Bronze,90.14
915,30,Male,France,98231,4,2,19,Low,Gold,92.74
918,65,Male,France,72322,4,8,7,High,Bronze,94.68
919,28,Female,USA,32428,9,3,9,High,Silver,66.72
920,68,Female,USA,103090,3,5,7,Low,Gold,76.47
922,40,Female,UK,93344,1,3,6,High,Silver,46.5
927,25,Male,UK,39439,2,6,18,Medium,Gold,69.91
928,21,Male,France,110325,10,2,2,Medium,Gold,90.6
929,57,Female,Germany,111904,7,5,11,High,Gold,97.48
930,21,Male,France,81952,4,7,13,High,Silver,64.35
931,42,Male,Germany,44653,1,5,5,Medium,Gold,38.91
932,20,Male,UK,116970,3,2,17,Low,Gold,74.16
934,20,Female,UK,103424,4,9,5,Medium,Gold,84.73
935,44,Male,Canada,47277,8,2,6,High,Silver,79.72
936,46,Female,Germany,62082,2,3,11,Low,Gold,59.7
938,67,Female,France,54402,10,1,3,Low,Gold,71.63
940,36,Female,USA,94430,5,5,11,Low,Gold,78.89
941,38,Male,UK,117714,2,8,10,Low,Bronze,91.85
944,45,Female,Canada,68960,1,3,3,Medium,Bronze,62.59
945,59,Female,Canada,68563,5,1,8,Low,Gold,66.41
946,39,Female,Germany,55216,1,6,14,Low,Gold,68.52
947,38,Male,Germany,117891,1,9,6,Medium,Bronze,85.8
948,23,Male,Germany,102213,2,1,16,High,Silver,66.47
951,58,Male,France,51899,4,4,9,High,Silver,72.83
952,29,Male,Canada,106522,5,4,7,Low,Gold,78.75
953,43,Male,UK,44756,1,1,9,High,Bronze,42.46
955,51,Female,UK,77948,5,6,1,High,Bronze,96.01
957,31,Female,UK,89072,2,3,7,Low,Bronze,39.97
961,26,Male,Germany,118243,6,7,14,High,Silver,88.21
962,43,Female,Germany,64995,4,5,11,Medium,Silver,54.6
966,47,Male,France,45368,9,2,16,Low,Gold,95.27
967,60,Male,Germany,115617,7,1,10,Medium,Gold,83.5
968,65,Female,Canada,72437,6,4,8,High,Silver,71.67
969,34,Female,Germany,67008,7,1,11,Low,Silver,62.89
970,43,Male,France,80838,5,2,19,Low,Gold,65.95
971,53,Male,Germany,58751,3,7,10,Medium,Bronze,93.27
972,18,Male,France,88930,7,5,9,High,Silver,90.54
973,25,Male,USA,32645,4,3,6,Medium,Gold,53.76
976,69,Female,Germany,91628,5,2,7,Low,Gold,81.86
977,32,Female,Germany,65595,5,1,20,Low,Gold,62.53
978,64,Male,Canada,70136,6,5,4,High,Silver,94.46
980,31,Male,France,67477,2,5,9,Low,Bronze,66.73
982,45,Female,France,41465,1,9,1,Medium,Gold,66.97
983,40,Male,France,36306,4,10,8,Low,Silver,94.41
984,31,Male,France,49730,6,2,17,Medium,Silver,73.86
985,41,Male,USA,32330,1,9,9,High,Silver,82.33
988,43,Male,USA,63342,3,5,8,High,Silver,80.31
989,31,Male,USA,52338,1,9,12,Low,Gold,77.57
990,68,Male,Germany,93976,3,5,10,Medium,Bronze,91.11
991,24,Female,UK,113372,1,1,9,High,Gold,74.24
994,40,Male,UK,66174,3,2,6,Low,Silver,52
996,60,Female,Canada,33366,4,7,13,Medium,Gold,95.13
998,62,Male,UK,58476,2,3,9,High,Silver,72.84
999,35,Male,UK,81665,6,2,11,Low,Bronze,83.43
1001,52,Male,USA,105611,7,2,7,Medium,Gold,70.51
1002,68,Female,USA,72792,5,2,3,Medium,Silver,71.75
1004,42,Male,USA,59334,5,1,16,Low,Bronze,58.39
1006,45,Male,USA,113020,3,7,19,High,Bronze,67.8
1007,27,Female,UK,49214,2,2,11,Medium,Silver,55.77
1009,34,Female,France,64316,8,8,2,High,Gold,97.1
1010,56,Male,USA,52657,7,7,20,Medium,Silver,88.44
1011,39,Male,Germany,74092,4,5,1,Medium,Silver,71.53
